course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,enrollment,rating,search_text
Dairy Production and Management,The Pennsylvania State University,COURSE,4.8,Mixed,23k,23000.0,4.8,dairy production and management the pennsylvania state university mixed
Data Analysis and Interpretation,Wesleyan University,SPECIALIZATION,4.4,Beginner,100k,100000.0,4.4,data analysis and interpretation wesleyan university beginner
Data Analysis and Presentation Skills: the PwC Approach,PwC,SPECIALIZATION,4.6,Beginner,220k,220000.0,4.6,data analysis and presentation skills: the pwc approach pwc beginner
Data Analysis with Python,IBM,COURSE,4.7,Beginner,110k,110000.0,4.7,data analysis with python ibm beginner
Data Analytics for Lean Six Sigma,University of Amsterdam,COURSE,4.8,Beginner,24k,24000.0,4.8,data analytics for lean six sigma university of amsterdam beginner
Data Collection and Processing with Python,University of Michigan,COURSE,4.7,Intermediate,19k,19000.0,4.7,data collection and processing with python university of michigan intermediate
Data Engineering on Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.4,Intermediate,3k,3000.0,4.4,data engineering on google cloud platform 日本語版 google cloud intermediate
Data Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.6,Intermediate,120k,120000.0,4.6,data engineering with google cloud google cloud intermediate
"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,SPECIALIZATION,4.6,Intermediate,120k,120000.0,4.6,"data engineering, big data, and machine learning on gcp google cloud intermediate"
Data Management for Clinical Research,Vanderbilt University,COURSE,4.7,Beginner,42k,42000.0,4.7,data management for clinical research vanderbilt university beginner
Data Mining,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,140k,140000.0,4.4,data mining university of illinois at urbana-champaign intermediate
Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,830k,830000.0,4.5,data science johns hopkins university beginner
Data Science Math Skills,Duke University,COURSE,4.5,Beginner,140k,140000.0,4.5,data science math skills duke university beginner
Data Science Methodology,IBM,COURSE,4.6,Beginner,89k,89000.0,4.6,data science methodology ibm beginner
Data Science: Foundations using R,Johns Hopkins University,SPECIALIZATION,4.6,Beginner,740k,740000.0,4.6,data science: foundations using r johns hopkins university beginner
Data Science: Statistics and Machine Learning,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,210k,210000.0,4.4,data science: statistics and machine learning johns hopkins university intermediate
Data Visualization and Communication with Tableau,Duke University,COURSE,4.7,Mixed,130k,130000.0,4.7,data visualization and communication with tableau duke university mixed
Data Visualization with Advanced Excel,PwC,COURSE,4.8,Beginner,60k,60000.0,4.8,data visualization with advanced excel pwc beginner
Data Visualization with Python,IBM,COURSE,4.6,Intermediate,66k,66000.0,4.6,data visualization with python ibm intermediate
Data Visualization with Tableau,"University of California, Davis",SPECIALIZATION,4.5,Beginner,96k,96000.0,4.5,"data visualization with tableau university of california, davis beginner"
Data Warehousing for Business Intelligence,University of Colorado System,SPECIALIZATION,4.5,Advanced,140k,140000.0,4.5,data warehousing for business intelligence university of colorado system advanced
Data and Health Indicators in Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,18k,18000.0,4.7,data and health indicators in public health practice johns hopkins university beginner
Data-driven Decision Making,PwC,COURSE,4.6,Beginner,120k,120000.0,4.6,data-driven decision making pwc beginner
Databases and SQL for Data Science,IBM,COURSE,4.7,Beginner,110k,110000.0,4.7,databases and sql for data science ibm beginner
De-Mystifying Mindfulness,Universiteit Leiden,COURSE,4.8,Beginner,150k,150000.0,4.8,de-mystifying mindfulness universiteit leiden beginner
Decision-Making and Scenarios,University of Pennsylvania,COURSE,4.6,Mixed,31k,31000.0,4.6,decision-making and scenarios university of pennsylvania mixed
Deep Learning,deeplearning.ai,SPECIALIZATION,4.8,Intermediate,690k,690000.0,4.8,deep learning deeplearning.ai intermediate
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,44k,44000.0,4.8,democracia y decisiones públicas. introducción al análisis de políticas públicas universitat autònoma de barcelona beginner
Dentistry 101,University of Michigan,COURSE,4.7,Beginner,4.5k,4500.0,4.7,dentistry 101 university of michigan beginner
Dermatology: Trip to skin,Novosibirsk State University ,COURSE,4.4,Beginner,8.2k,8200.0,4.4,dermatology: trip to skin novosibirsk state university  beginner
Design Thinking for Innovation,University of Virginia,COURSE,4.6,Beginner,240k,240000.0,4.6,design thinking for innovation university of virginia beginner
Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,COURSE,4.6,Beginner,17k,17000.0,4.6,design thinking for the greater good: innovation in the social sector university of virginia beginner
Design and Interpretation of Clinical Trials,Johns Hopkins University,COURSE,4.7,Mixed,67k,67000.0,4.7,design and interpretation of clinical trials johns hopkins university mixed
Design and Make Infographics (Project-Centered Course),Michigan State University,COURSE,4.7,Mixed,97k,97000.0,4.7,design and make infographics (project-centered course) michigan state university mixed
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,COURSE,4.6,Intermediate,19k,19000.0,4.6,design-led strategy: design thinking for business strategy and entrepreneurship the university of sydney intermediate
Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,SPECIALIZATION,4.6,Intermediate,16k,16000.0,4.6,developing apis with google cloud's apigee api platform google cloud intermediate
Developing Applications with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,300k,300000.0,4.7,developing applications with google cloud platform google cloud intermediate
Developing Applications with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.8,Intermediate,4k,4000.0,4.8,developing applications with google cloud platform 日本語版 google cloud intermediate
Developing Industrial Internet of Things,University of Colorado Boulder,SPECIALIZATION,4.6,Intermediate,8k,8000.0,4.6,developing industrial internet of things university of colorado boulder intermediate
Developing Your Musicianship,Berklee College of Music,COURSE,4.8,Mixed,41k,41000.0,4.8,developing your musicianship berklee college of music mixed
Developing Your Musicianship,Berklee College of Music,SPECIALIZATION,4.8,Beginner,54k,54000.0,4.8,developing your musicianship berklee college of music beginner
Devenir entrepreneur du changement,Ticket for Change,COURSE,4.7,Mixed,54k,54000.0,4.7,devenir entrepreneur du changement ticket for change mixed
Digital Advertising Strategy,University of Colorado Boulder,SPECIALIZATION,4.4,Beginner,9k,9000.0,4.4,digital advertising strategy university of colorado boulder beginner
Digital Business Models,Lund University,COURSE,4.5,Beginner,21k,21000.0,4.5,digital business models lund university beginner
Digital Manufacturing & Design Technology,University at Buffalo,SPECIALIZATION,4.6,Beginner,37k,37000.0,4.6,digital manufacturing & design technology university at buffalo beginner
Digital Marketing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,380k,380000.0,4.6,digital marketing university of illinois at urbana-champaign beginner
Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,COURSE,4.4,Mixed,57k,57000.0,4.4,digital media and marketing strategies university of illinois at urbana-champaign mixed
Digital Product Management,University of Virginia,SPECIALIZATION,4.7,Beginner,140k,140000.0,4.7,digital product management university of virginia beginner
Digital Product Management: Modern Fundamentals,University of Virginia,COURSE,4.7,Beginner,58k,58000.0,4.7,digital product management: modern fundamentals university of virginia beginner
Dino 101: Dinosaur Paleobiology,University of Alberta,COURSE,4.5,Beginner,35k,35000.0,4.5,dino 101: dinosaur paleobiology university of alberta beginner
Discrete Optimization,The University of Melbourne,COURSE,4.9,Intermediate,40k,40000.0,4.9,discrete optimization the university of melbourne intermediate
Diseño Instruccional: Aprendizaje activo y Pedagogía digital,Tecnológico de Monterrey,SPECIALIZATION,4.6,Beginner,4k,4000.0,4.6,diseño instruccional: aprendizaje activo y pedagogía digital tecnológico de monterrey beginner
Diseño y Creación de un Emprendimiento Social,Pontificia Universidad Católica de Chile,COURSE,4.9,Beginner,21k,21000.0,4.9,diseño y creación de un emprendimiento social pontificia universidad católica de chile beginner
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,COURSE,4.8,Intermediate,130k,130000.0,4.8,"divide and conquer, sorting and searching, and randomized algorithms stanford university intermediate"
Dog Emotion and Cognition,Duke University,COURSE,4.6,Mixed,150k,150000.0,4.6,dog emotion and cognition duke university mixed
Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,COURSE,4.8,Beginner,5.6k,5600.0,4.8,driving business towards the sustainable development goals erasmus university rotterdam beginner
Drug Commercialization,University of California San Diego,COURSE,4.7,Beginner,17k,17000.0,4.7,drug commercialization university of california san diego beginner
Drug Discovery,University of California San Diego,COURSE,4.6,Beginner,39k,39000.0,4.6,drug discovery university of california san diego beginner
Dynamic Public Speaking,University of Washington,SPECIALIZATION,4.7,Beginner,110k,110000.0,4.7,dynamic public speaking university of washington beginner
EMT Foundations,University of Colorado System,COURSE,4.8,Beginner,7.1k,7100.0,4.8,emt foundations university of colorado system beginner
Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,COURSE,4.8,Intermediate,18k,18000.0,4.8,ecology: ecosystem dynamics and conservation american museum of natural history intermediate
Econometrics: Methods and Applications,Erasmus University Rotterdam,COURSE,4.7,Mixed,110k,110000.0,4.7,econometrics: methods and applications erasmus university rotterdam mixed
Economics of Money and Banking,Columbia University,COURSE,4.9,Mixed,83k,83000.0,4.9,economics of money and banking columbia university mixed
Ecosystem Services: a Method for Sustainable Development,University of Geneva,COURSE,4.7,Intermediate,16k,16000.0,4.7,ecosystem services: a method for sustainable development university of geneva intermediate
Effective Compliance Programs,University of Pennsylvania,COURSE,4.9,Mixed,3.4k,3400.0,4.9,effective compliance programs university of pennsylvania mixed
Egiptología (Egyptology),Universitat Autònoma de Barcelona,COURSE,4.9,Beginner,46k,46000.0,4.9,egiptología (egyptology) universitat autònoma de barcelona beginner
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,COURSE,5.0,Beginner,1.5k,1500.0,5.0,el abogado del futuro: legaltech y la transformación digital del derecho universidad austral beginner
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,COURSE,4.7,Intermediate,57k,57000.0,4.7,elastic google cloud infrastructure: scaling and automation google cloud intermediate
Electric Industry Operations and Markets,Duke University,COURSE,4.8,Beginner,12k,12000.0,4.8,electric industry operations and markets duke university beginner
Electronic Music Production,Berklee College of Music,SPECIALIZATION,4.8,Intermediate,110k,110000.0,4.8,electronic music production berklee college of music intermediate
Emerging Technologies: From Smartphones to IoT to Big Data,Yonsei University,SPECIALIZATION,4.6,Beginner,17k,17000.0,4.6,emerging technologies: from smartphones to iot to big data yonsei university beginner
"Energy Production, Distribution & Safety",University at Buffalo,SPECIALIZATION,4.7,Beginner,37k,37000.0,4.7,"energy production, distribution & safety university at buffalo beginner"
Engineering Health: Introduction to Yoga and Physiology,New York University,COURSE,4.8,Beginner,14k,14000.0,4.8,engineering health: introduction to yoga and physiology new york university beginner
Engineering Project Management: Initiating and Planning,Rice University,COURSE,4.7,Beginner,23k,23000.0,4.7,engineering project management: initiating and planning rice university beginner
English Composition I,Duke University,COURSE,4.6,Beginner,200k,200000.0,4.6,english composition i duke university beginner
English for Business and Entrepreneurship,University of Pennsylvania,COURSE,4.8,Beginner,230k,230000.0,4.8,english for business and entrepreneurship university of pennsylvania beginner
English for Career Development,University of Pennsylvania,COURSE,4.8,Mixed,760k,760000.0,4.8,english for career development university of pennsylvania mixed
English for Journalism,University of Pennsylvania,COURSE,4.8,Mixed,130k,130000.0,4.8,english for journalism university of pennsylvania mixed
English for Research Publication Purposes,Moscow Institute of Physics and Technology,SPECIALIZATION,4.6,Intermediate,42k,42000.0,4.6,english for research publication purposes moscow institute of physics and technology intermediate
"English for Science, Technology, Engineering, and Mathematics",University of Pennsylvania,COURSE,4.8,Beginner,110k,110000.0,4.8,"english for science, technology, engineering, and mathematics university of pennsylvania beginner"
Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,COURSE,4.4,Beginner,2.4k,2400.0,4.4,enterprise architecture peter the great st. petersburg polytechnic university beginner
Entrepreneurial Finance: Strategy and Innovation,Duke University,SPECIALIZATION,4.5,Intermediate,7.9k,7900.0,4.5,entrepreneurial finance: strategy and innovation duke university intermediate
Entrepreneurship,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,110k,110000.0,4.8,entrepreneurship university of pennsylvania beginner
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,COURSE,4.8,Mixed,86k,86000.0,4.8,entrepreneurship 1: developing the opportunity university of pennsylvania mixed
Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,COURSE,4.8,Mixed,38k,38000.0,4.8,entrepreneurship 2: launching your start-up university of pennsylvania mixed
Entrepreneurship 3: Growth Strategies,University of Pennsylvania,COURSE,4.7,Beginner,31k,31000.0,4.7,entrepreneurship 3: growth strategies university of pennsylvania beginner
Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,COURSE,4.8,Beginner,20k,20000.0,4.8,entrepreneurship strategy: from ideation to exit hec paris beginner
Entrepreneurship: Launching an Innovative Business,"University of Maryland, College Park",SPECIALIZATION,4.6,Beginner,69k,69000.0,4.6,"entrepreneurship: launching an innovative business university of maryland, college park beginner"
Epidemics - the Dynamics of Infectious Diseases,The Pennsylvania State University,COURSE,4.8,Mixed,45k,45000.0,4.8,epidemics - the dynamics of infectious diseases the pennsylvania state university mixed
"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,COURSE,4.7,Mixed,23k,23000.0,4.7,"epidemics, pandemics and outbreaks university of pittsburgh mixed"
Epidemiology for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,6.4k,6400.0,4.7,epidemiology for public health imperial college london beginner
Epidemiology in Public Health Practice,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31k,31000.0,4.7,epidemiology in public health practice johns hopkins university beginner
Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,COURSE,4.6,Mixed,130k,130000.0,4.6,epidemiology: the basic science of public health the university of north carolina at chapel hill mixed
Epigenetic Control of Gene Expression,The University of Melbourne,COURSE,4.8,Mixed,35k,35000.0,4.8,epigenetic control of gene expression the university of melbourne mixed
Equine Welfare and Management,"University of California, Davis",COURSE,4.8,Beginner,7.2k,7200.0,4.8,"equine welfare and management university of california, davis beginner"
Esports,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,1.8k,1800.0,4.5,"esports university of california, irvine beginner"
Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,14k,14000.0,4.7,essential epidemiologic tools for public health practice johns hopkins university beginner
Essential Google Cloud Infrastructure: Core Services,Google Cloud,COURSE,4.7,Intermediate,68k,68000.0,4.7,essential google cloud infrastructure: core services google cloud intermediate
Essential Google Cloud Infrastructure: Foundation,Google Cloud,COURSE,4.7,Intermediate,83k,83000.0,4.7,essential google cloud infrastructure: foundation google cloud intermediate
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,COURSE,4.8,Intermediate,4.1k,4100.0,4.8,essentials in clinical simulations across the health professions the george washington university intermediate
Essentials of Corporate Finance,The University of Melbourne,SPECIALIZATION,4.6,Intermediate,54k,54000.0,4.6,essentials of corporate finance the university of melbourne intermediate
Essentials of Global Health,Yale University,COURSE,4.8,Mixed,31k,31000.0,4.8,essentials of global health yale university mixed
Estadística y probabilidad,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,27k,27000.0,4.7,estadística y probabilidad universidad nacional autónoma de méxico beginner
Evaluación educativa,Universidad Nacional Autónoma de México,SPECIALIZATION,4.8,Beginner,13k,13000.0,4.8,evaluación educativa universidad nacional autónoma de méxico beginner
"Everyday Excel, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,11k,11000.0,4.8,"everyday excel, part 1 university of colorado boulder beginner"
Everyday Parenting: The ABCs of Child Rearing,Yale University,COURSE,4.9,Beginner,86k,86000.0,4.9,everyday parenting: the abcs of child rearing yale university beginner
Excel Skills for Business,Macquarie University,SPECIALIZATION,4.9,Beginner,240k,240000.0,4.9,excel skills for business macquarie university beginner
Excel Skills for Business: Advanced,Macquarie University,COURSE,4.7,Intermediate,39k,39000.0,4.7,excel skills for business: advanced macquarie university intermediate
Excel Skills for Business: Essentials,Macquarie University,COURSE,4.9,Beginner,200k,200000.0,4.9,excel skills for business: essentials macquarie university beginner
Excel Skills for Business: Intermediate I,Macquarie University,COURSE,4.9,Intermediate,76k,76000.0,4.9,excel skills for business: intermediate i macquarie university intermediate
Excel Skills for Business: Intermediate II,Macquarie University,COURSE,4.8,Intermediate,39k,39000.0,4.8,excel skills for business: intermediate ii macquarie university intermediate
Excel to MySQL: Analytic Techniques for Business,Duke University,SPECIALIZATION,4.6,Beginner,490k,490000.0,4.6,excel to mysql: analytic techniques for business duke university beginner
Excel/VBA for Creative Problem Solving,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,56k,56000.0,4.8,excel/vba for creative problem solving university of colorado boulder beginner
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,54k,54000.0,4.8,"excel/vba for creative problem solving, part 1 university of colorado boulder beginner"
Executive Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,170k,170000.0,4.5,executive data science johns hopkins university beginner
Explorando la Energía Sustentable,Pontificia Universidad Católica de Chile,COURSE,4.8,Beginner,28k,28000.0,4.8,explorando la energía sustentable pontificia universidad católica de chile beginner
Fashion as Design,The Museum of Modern Art,COURSE,4.8,Beginner,180k,180000.0,4.8,fashion as design the museum of modern art beginner
Feminism and Social Justice,"University of California, Santa Cruz",COURSE,4.8,Beginner,18k,18000.0,4.8,"feminism and social justice university of california, santa cruz beginner"
FinTech Law and Policy,Duke University,COURSE,4.8,Beginner,9.7k,9700.0,4.8,fintech law and policy duke university beginner
FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology,SPECIALIZATION,4.6,Beginner,13k,13000.0,4.6,fintech: finance industry transformation and regulation the hong kong university of science and technology beginner
"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,COURSE,4.7,Beginner,12k,12000.0,4.7,"fintech: foundations, payments, and regulations university of pennsylvania beginner"
Finance & Quantitative Modeling for Analysts,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,260k,260000.0,4.5,finance & quantitative modeling for analysts university of pennsylvania beginner
Finance for Non-Finance Professionals,Rice University,COURSE,4.8,Beginner,69k,69000.0,4.8,finance for non-finance professionals rice university beginner
Finance for Non-Financial Managers,Emory University,COURSE,4.4,Intermediate,12k,12000.0,4.4,finance for non-financial managers emory university intermediate
Financial Accounting Fundamentals,University of Virginia,COURSE,4.8,Beginner,65k,65000.0,4.8,financial accounting fundamentals university of virginia beginner
Financial Acumen for Non-Financial Managers,University of Pennsylvania,COURSE,4.5,Beginner,10k,10000.0,4.5,financial acumen for non-financial managers university of pennsylvania beginner
Financial Engineering and Risk Management Part I,Columbia University,COURSE,4.6,Mixed,100k,100000.0,4.6,financial engineering and risk management part i columbia university mixed
Financial Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,76k,76000.0,4.7,financial management university of illinois at urbana-champaign intermediate
Financial Markets,Yale University,COURSE,4.8,Beginner,470k,470000.0,4.8,financial markets yale university beginner
Financial Markets and Investment Strategy,Indian School of Business,SPECIALIZATION,4.5,Beginner,60k,60000.0,4.5,financial markets and investment strategy indian school of business beginner
Financial Reporting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12k,12000.0,4.8,financial reporting university of illinois at urbana-champaign intermediate
Financial Technology (Fintech) Innovations,University of Michigan,SPECIALIZATION,4.7,Beginner,6.5k,6500.0,4.7,financial technology (fintech) innovations university of michigan beginner
Financing and Investing in Infrastructure,Università Bocconi,COURSE,4.8,Mixed,24k,24000.0,4.8,financing and investing in infrastructure università bocconi mixed
Finanzas corporativas,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Intermediate,30k,30000.0,4.6,finanzas corporativas universidad nacional autónoma de méxico intermediate
Finanzas personales,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,310k,310000.0,4.8,finanzas personales universidad nacional autónoma de méxico mixed
Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,COURSE,4.7,Beginner,36k,36000.0,4.7,finding purpose and meaning in life: living for what matters most university of michigan beginner
Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,20k,20000.0,4.6,fintech: foundations & applications of financial technology university of pennsylvania beginner
First Step Korean,Yonsei University,COURSE,4.9,Beginner,400k,400000.0,4.9,first step korean yonsei university beginner
Food & Beverage Management,Università Bocconi,COURSE,4.8,Mixed,57k,57000.0,4.8,food & beverage management università bocconi mixed
Forensic Accounting and Fraud Examination,West Virginia University,COURSE,4.7,Mixed,42k,42000.0,4.7,forensic accounting and fraud examination west virginia university mixed
Formulación y evaluación de proyectos complejos,Universidad de los Andes,COURSE,4.9,Intermediate,4.4k,4400.0,4.9,formulación y evaluación de proyectos complejos universidad de los andes intermediate
Foundational Finance for Strategic Decision Making,University of Michigan,SPECIALIZATION,4.8,Beginner,14k,14000.0,4.8,foundational finance for strategic decision making university of michigan beginner
Foundations of Business Strategy,University of Virginia,COURSE,4.8,Beginner,63k,63000.0,4.8,foundations of business strategy university of virginia beginner
Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,62k,62000.0,4.8,foundations of everyday leadership university of illinois at urbana-champaign mixed
Foundations of Global Health,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31k,31000.0,4.7,foundations of global health johns hopkins university beginner
Foundations of Management,IESE Business School,SPECIALIZATION,4.8,Beginner,64k,64000.0,4.8,foundations of management iese business school beginner
Foundations of Marketing Analytics,Emory University,SPECIALIZATION,4.2,Intermediate,27k,27000.0,4.2,foundations of marketing analytics emory university intermediate
Foundations of Positive Psychology,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,89k,89000.0,4.8,foundations of positive psychology university of pennsylvania beginner
Foundations of Public Health Practice,Imperial College London,SPECIALIZATION,4.8,Beginner,3.2k,3200.0,4.8,foundations of public health practice imperial college london beginner
From Data to Insights with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.6,Beginner,26k,26000.0,4.6,from data to insights with google cloud platform google cloud beginner
From the Big Bang to Dark Energy,The University of Tokyo,COURSE,4.8,Beginner,52k,52000.0,4.8,from the big bang to dark energy the university of tokyo beginner
Front-End Web Development with React,The Hong Kong University of Science and Technology,COURSE,4.7,Intermediate,45k,45000.0,4.7,front-end web development with react the hong kong university of science and technology intermediate
Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,COURSE,4.8,Intermediate,89k,89000.0,4.8,front-end web ui frameworks and tools: bootstrap 4 the hong kong university of science and technology intermediate
Full Stack Web and Multiplatform Mobile App Development,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,150k,150000.0,4.7,full stack web and multiplatform mobile app development the hong kong university of science and technology intermediate
Full-Stack Web Development with React,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,140k,140000.0,4.7,full-stack web development with react the hong kong university of science and technology intermediate
Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,170k,170000.0,4.8,functional programming principles in scala école polytechnique fédérale de lausanne intermediate
Functional Programming in Scala,École Polytechnique Fédérale de Lausanne,SPECIALIZATION,4.7,Intermediate,220k,220000.0,4.7,functional programming in scala école polytechnique fédérale de lausanne intermediate
Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,COURSE,4.6,Beginner,30k,30000.0,4.6,fundamental neuroscience for neuroimaging johns hopkins university beginner
Fundamentals of Accounting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,39k,39000.0,4.6,fundamentals of accounting university of illinois at urbana-champaign beginner
Fundamentals of Computing,Rice University,SPECIALIZATION,4.8,Beginner,200k,200000.0,4.8,fundamentals of computing rice university beginner
Fundamentals of Engineering Exam Review,Georgia Institute of Technology,COURSE,4.7,Mixed,49k,49000.0,4.7,fundamentals of engineering exam review georgia institute of technology mixed
Fundamentals of GIS,"University of California, Davis",COURSE,4.8,Beginner,86k,86000.0,4.8,"fundamentals of gis university of california, davis beginner"
Fundamentals of Graphic Design,California Institute of the Arts,COURSE,4.8,Beginner,290k,290000.0,4.8,fundamentals of graphic design california institute of the arts beginner
Fundamentals of Immunology,Rice University,SPECIALIZATION,4.7,Intermediate,20k,20000.0,4.7,fundamentals of immunology rice university intermediate
Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,COURSE,4.7,Intermediate,18k,18000.0,4.7,fundamentals of immunology: innate immunity and b-cell function rice university intermediate
Fundamentals of Music Theory,The University of Edinburgh,COURSE,4.6,Beginner,180k,180000.0,4.6,fundamentals of music theory the university of edinburgh beginner
Fundamentals of Project Planning and Management,University of Virginia,COURSE,4.7,Beginner,120k,120000.0,4.7,fundamentals of project planning and management university of virginia beginner
Fundamentals of Quantitative Modeling,University of Pennsylvania,COURSE,4.6,Mixed,110k,110000.0,4.6,fundamentals of quantitative modeling university of pennsylvania mixed
Fundamentals of Reinforcement Learning,University of Alberta,COURSE,4.8,Intermediate,22k,22000.0,4.8,fundamentals of reinforcement learning university of alberta intermediate
Fundamentals of Visualization with Tableau,"University of California, Davis",COURSE,4.5,Beginner,81k,81000.0,4.5,"fundamentals of visualization with tableau university of california, davis beginner"
Fundamentos Empresariales,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,25k,25000.0,4.6,fundamentos empresariales university of pennsylvania beginner
Fundamentos Estratégicos Empresariales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Beginner,56k,56000.0,4.6,fundamentos estratégicos empresariales universidad nacional autónoma de méxico beginner
Fundamentos de Excel para Negocios,Universidad Austral,COURSE,4.7,Beginner,150k,150000.0,4.7,fundamentos de excel para negocios universidad austral beginner
Fundamentos de Finanzas Empresariales,Universidad de los Andes,COURSE,4.8,Beginner,110k,110000.0,4.8,fundamentos de finanzas empresariales universidad de los andes beginner
Fundamentos de la escritura,Tecnológico de Monterrey,COURSE,4.6,Beginner,47k,47000.0,4.6,fundamentos de la escritura tecnológico de monterrey beginner
Fundraising and Development,"University of California, Davis",SPECIALIZATION,4.6,Beginner,4.9k,4900.0,4.6,"fundraising and development university of california, davis beginner"
Futures Thinking,Institute for the Future,SPECIALIZATION,4.8,Beginner,9.4k,9400.0,4.8,futures thinking institute for the future beginner
G Suite Administration,Google Cloud,SPECIALIZATION,4.7,Beginner,10k,10000.0,4.7,g suite administration google cloud beginner
"GIS, Mapping, and Spatial Analysis",University of Toronto,SPECIALIZATION,4.8,Beginner,140k,140000.0,4.8,"gis, mapping, and spatial analysis university of toronto beginner"
Game Design and Development,Michigan State University,SPECIALIZATION,4.7,Intermediate,100k,100000.0,4.7,game design and development michigan state university intermediate
Game Theory,Stanford University,COURSE,4.6,Beginner,260k,260000.0,4.6,game theory stanford university beginner
Gamification,University of Pennsylvania,COURSE,4.8,Mixed,110k,110000.0,4.8,gamification university of pennsylvania mixed
Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,COURSE,4.7,Beginner,14k,14000.0,4.7,gender and sexuality: diversity and inclusion in the workplace university of pittsburgh beginner
Genomic Data Science,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,80k,80000.0,4.4,genomic data science johns hopkins university intermediate
Geographic Information Systems  (GIS),"University of California, Davis",SPECIALIZATION,4.8,Beginner,97k,97000.0,4.8,"geographic information systems  (gis) university of california, davis beginner"
Geopolitics of Europe,Sciences Po,COURSE,4.3,Mixed,19k,19000.0,4.3,geopolitics of europe sciences po mixed
Geopolítica y gobernanza global: riesgos y oportunidades,ESADE Business and Law School,COURSE,4.8,Mixed,34k,34000.0,4.8,geopolítica y gobernanza global: riesgos y oportunidades esade business and law school mixed
